"partno","altpartno"
"000-001-44PHR","PVC FILM (0.8MM) (30M X 1.40M)"
"000-001-44PHR","PVC FILM (1MM) (20M X 1.40M)"
"000-001-44PHR","ПЛЕНКА ПРОЗР. ПВХ 1ММ ШИР.1,37М"
"029-894-0","APS06015"
"029-894-0","APS06030"
"029-894-0","DR29628T"
"02A1248C0112","12-48-34.5"
"02A1248C0112","3400"
"02A1248C0112","C12-49-36"
"02A1248C0112","GSE0700038"
"02A2560-0111","GSE 192"
"02A2560-0111","GSE192"
"02A7844C0111","3022"
"02A7844C0111","30-43-30"
"02A7844C0111","GSE0700446"
"02A7867C0100","RC2508B1A0A01"
"02ABA1","02-003"
"02ABA1","HYJET IV-A PLUS"
"02ABA1","HYJET IV-A PLUS (1QT)"
"02ABA1","HYJET V (1QT)"
"02ABA1","SKYDROL LD-4 (1QT)"
"02ABA1","SKYDROL PE-5"
"02BBB9","AEROSHELL FLUID 41"
"02BBB9","CASTROL AERO 35"
"02BBB9","HYDRAUNYCOIL FH 51 (L)"
"02BBB9","ГИДРОНИКОЙЛ FH 51"
"02CBB1","02CCC1"
"02CBB1","AEROSHELL SSF"
"02CBB1","HYDRAUNYCOIL FH 6 AW"
"02CBB1","ROYCO SSF"
"02CCC1","02CBB1"
"02CCC1","AEROSHELL LGF"
"02CCC1","CASTROL AERO 40"
"02CCC1","ROYCO LGF"
"02N64741","06N62478"
"02PS","MO-02PS-ST"
"03-00051-3","MS20257-5"
"03012024","50APSP 3/8"
"03012028","50APSP 7/16"
"03012034","50APSP 9/16"
"03013028","50APLSP 7/16"
"030-2259-000","E0170FA2200"
"03-06-2122","151-5012"
"031-0560-121","NSA938192DC1201"
"03186017","3138828"
"0319850300","0319850740"
"0319850740","0319850300"
"0323676","323676"
"0330D003BH4HC/-SO263","PARKER PR3180Q"
"0330D010BN4HC/-SO263","0330D010ON/-SO263"
"0330D010BN4HC/-SO263","D0330A10CHA"
"0330D010ON/-SO263","0330D010BN4HC/-SO263"
"0332207100","4504434"
"0332207100","4504836"
"0332227960","4520392"
"0332250210","4504320"
"0332250210","4504834"
"03410044","SES281B"
"0344-01","EV034401"
"03-506-09","ABW9VCRNSA"
"03-506-09","NSA8133-09"
"03-506-09","WML14-29R"
"037.1101/5","063.1106/5"
"038054","7507227"
"038057-00-81","038057-00-82"
"038057-00-81","65-90305-32"
"038057-00-82","038057-00-81"
"03-823-08CP","KSC417408B"
"03-823-08CP","MS14104-8CP"
"03-824-08","MS14102-8"
"0382408","03-824-08"
"0382408","MS14102-8"
"03-825-04","MS14101-4"
"03-825-05ACP","MS14101-5ACP"
"03-825-08C","MS14101-8C"
"03-826-06","MS14103-6"
"03-826-08","MS14103-8"
"0384502","TAPE, LACING"
"0384505","TAPE, LACING"
"03A187-6L","202-16126-6L"
"03ABA1","MOBIL JET OIL 387 (1QT)"
"03ABA1","MOBIL JET OIL II (1QT)"
"03ABA1","TURBONYCOIL 600"
"03ABA1","TURBONYCOIL 600 (1QT)"
"03ABB1","AEROSHELL TURBINE OIL 308(1QT)"
"03ABB1","EASTMAN TURBO OIL 2389 (1QT)"
"03BBB1","AEROSHELL FLUID 3"
"03BBB1","MIL-PRF-7870"
"03BDB9","AEROSHELL FLUID 3"
"03BDB9","CASTROL BRAYCO 300"
"03BDB9","ROYCO 308CA"
"03BEB1","AEROSHELL TURBINE OIL 2"
"03BEB1","BRAYCO 460"
"03FAB1","NYCO 65"
"03FBB1","AEROSHELL GREASE 5"
"03FBB1","NYCO GREASE GN 05"
"03FBC1","NYCO GREASE GN06"
"03FCC2","MOLYKOTE DX PASTE"
"03FCC2","MOLYKOTE DX (S) PASTE"
"03FDB1","MOLUB-ALLOY PASTE WHITE T"
"03FDB1","OPTIMOL PASTE WHITE T"
"03FDG1","AEROSHELL GREASE 14"
"03GBB1","AEROSHELL GREASE 22"
"03GBB1","MIL-PRF-81322"
"03GBB1","MOBIL GREASE 28"
"03GBC1","AEROSHELL GREASE 33"
"03GBC1","MOBIL GREASE 33"
"03GBD1","AEROSHELL GREASE 33"
"03GBD1","MOBIL GREASE 33"
"03GCB1","MOBIL AVIATION GREASE SHC 100"
"03GDB1","AEROSPEC 100"
"03GEE1","KRYTOX 240 AC"
"03GGA9","AEROSHELL GREASE 16"
"03GY274/03GY274CAT","C03-104"
"03HBB1","AEROSHELL GREASE 33"
"03HBC1","AEROSHELL GREASE 33"
"03HBD9","AEROSHELL GREASE 33"
"03HBD9","AEROSHELL GREASE 7"
"03HBD9","MOBIL GREASE 33"
"03HCA4","ROYCO HF-825"
"03HGH4","ISOFLEX PDL 300 A"
"03JAB1","DC 4 (100G)"
"03JAB1","MOLYKOTE 4"
"03JBA1","MOLYKOTE 33 LIGHT"
"03JBA1","MOLYKOTE 33 LIGHT (100GR)"
"03JBA1","MOLYKOTE 33 MEDIUM"
"03JCA9","MOLYKOTE 55M"
"03JCA9","MOLYKOTE 55 O-RING GREASE(100G)"
"03JCA9","MOLYKOTE 55 O-RING GREASE(100ML)"
"03JCA9","ROYCO 43"
"03JCA9","SAE-AMS-G-4343"
"03JEA1","DOW CORNING HIGH VACUUM GREASE"
"03KBB1","NYCO GREASE GN HC"
"03LBB1","NYCO GREASE GN GA 47"
"03LBB1","ROYCO 44"
"03LDA1","MCS-352B"
"03-PAR-AV-1X-ALL","03-PAR-AV-1X-ALUM"
"03PBB1","LOCTITE LB 8008 C5-A"
"03PBB1","NEVER-SEEZ NSBT-8N"
"03PBC1","ROYCO 1MS"
"03PBD1","LOCTITE LB 771 (1 LB)"
"03PBD1","LOCTITE LB 771 (8 OZ)"
"03PBD1","NEVER-SEEZ NSBT-8N"
"03PBD1","NEVER-SEEZ NSN-165"
"03PBD1","NEVER SEEZ PURE NI SPL"
"03PBG6","LOCTITE LB 771 (8 OZ)"
